client_id,company_name,tax_registration_country,company_address,postal_address
26971_WPA,юл КОНОНОВ PZJ,null,['случайный адрес'],['случайный адрес']
51732_TVO,юл АННА ICM,RUS,['случайный адрес'],['случайный адрес']
51141_TEN,юл МИЛИЦА INT,null,null,null
16421_LHZ,юл ХАРИТОНОВНА EHZ,IRN,['случайный адрес'],['случайный адрес']
55636_LVZ,юл АЛЕВТИНА MWU,null,['случайный адрес'],null
37627_MKI,юл АНТОНОВИЧ FGH,null,null,['случайный адрес']
48405_CEK,юл ТИМУРОВИЧ KFT,USA,null,null
17660_MRK,юл ТАРАСОВНА SPP,RUS,"их,  ), Северная Корея, клиенты., В,  )",['случайный адрес']
23715_TAC,юл ЕФИМОВНА BUM,IRN,['случайный адрес'],['случайный адрес']
40172_GDU,юл ЕФИМОВА JBV,null,null," ), КНДР, Поэтому, в, вам, ( "
36537_WVA,юл СИЛИНА ULO,RUS,['случайный адрес'],['случайный адрес']
32076_WMB,юл КОМАРОВА KGN,IRN,['случайный адрес'],null
20180_NQM,юл ИЗЯСЛАВ EAS,null,['случайный адрес'],"., , команда,  ), Иран, проверок., банк"
32169_LBG,юл ОРЛОВ OFZ,USA,['случайный адрес'],null
53566_DHW,юл ДАНИЛОВ GQV,null,"Иран, регулятора, которая,  ., автоматизации,  .",null
21545_MAQ,юл СЕЛИВЕРСТОВ YSB,null,null,"по-своему., ., , ., себя, законов., Северная Корея"
21997_USI,юл КОМАРОВА JDD,RUS,['случайный адрес'],['случайный адрес']
64350_AKF,юл ЕЛИЗАВЕТА VKW,PRK,null,['случайный адрес']
48233_VCY,юл СЕРГЕЕВ QVG,USA,['случайный адрес'],['случайный адрес']
20919_QEY,юл ЕФИМЬЕВИЧ QGP,USA,['случайный адрес'],['случайный адрес']
51295_HSK,юл САВЕЛЬЕВА GDA,PRK,"., , ., Северная Корея, сыграет, терроризма,, таких",['случайный адрес']
24625_MML,юл КАПУСТИНА MOL,RUS,['случайный адрес'],"Иран, лишаются, вручную., ., Банкам,  )"
24798_DEP,юл ИГНАТЬЕВА FHA,RUS,['случайный адрес'],null
59621_TDB,юл ДАНИЛОВНА REW,RUS,['случайный адрес'],['случайный адрес']
47532_UWI,юл ИГОРЕВНА UBX,RUS,['случайный адрес'],null
52415_UGA,юл ВАЛЕРИЯ PWX,null,['случайный адрес'],['случайный адрес']
27205_SVP,юл АНТОНИНА XRX,IRN,['случайный адрес'],['случайный адрес']
33754_RWL,юл ПАНОВ YSD,USA,"написать, мероприятии, сложностями, ., Северная Корея,  )",null
50965_MIT,юл СЫСОЕВ OND,USA,['случайный адрес'],['случайный адрес']
56137_JYW,юл ФРОЛОВА YYG,USA,null,['случайный адрес']
44114_ZGJ,юл ВЕРА GDU,RUS,"написать, проводят,  ),  ), КНДР, доходов",['случайный адрес']
30264_WKI,юл ШИРЯЕВ VTU,RUS,['случайный адрес'],null
51727_MXJ,юл РУСЛАН YFC,USA,['случайный адрес'],null
64220_ZUQ,юл ПАВЛОВНА ZLG,null,"раз, Соблюдение, мы,  ), КНДР, ., ",null
61595_DZD,юл СВЕТЛАНА MJY,PRK,['случайный адрес'],['случайный адрес']
29566_ZIC,юл АКУЛИНА OMG,IRN,"пройдя, со, ., , Северная Корея, ( , задать",null
63107_VCX,юл ДАНИЛОВНА WYJ,PRK,null,['случайный адрес']
36812_ADW,юл СЕЛИВЕРСТОВ VAZ,USA,['случайный адрес'],['случайный адрес']
42532_ZBU,юл ЮРЬЕВНА VRY,IRN,['случайный адрес'],['случайный адрес']
60403_GQK,юл ЩУКИН GKQ,RUS,"Иран,  ., которые, закрываются., ., которая",['случайный адрес']
40856_CIR,юл ЕРМАКОВ XRN,USA,null,"., ., , Иран, консультантов-экспертов, эту, -"
45095_NYQ,юл ГЕРТРУДОВИЧ WKX,USA,null,['случайный адрес']
50303_XMO,юл ПАНФИЛ YXH,RUS,null,['случайный адрес']
45972_QGR,юл РУСЛАН HWE,RUS,"в,  ), Потребуется, ., , настроить, Иран",['случайный адрес']
24314_HFC,юл АРХИПОВИЧ QWT,null,null,['случайный адрес']
32630_ZTS,юл АНТОНИНА UHC,USA,null,['случайный адрес']
31109_CEH,юл РОБЕРТОВНА MKV,null,['случайный адрес'],['случайный адрес']
20580_AIB,юл МУРАВЬЕВА WVV,null,['случайный адрес'],"настроить,  ), ( , законов., эту, КНДР"
38540_JLG,юл СИГИЗМУНД NJP,RUS,['случайный адрес'],null
17762_KRE,юл ИЗЯСЛАВ TLA,USA,null,['случайный адрес']
54939_EPJ,юл РОЖКОВА QEL,USA,null,['случайный адрес']
52685_RMP,юл РОЖКОВ AFH,null,"по-своему., Северная Корея, написать, В,  ), .",null
31464_GQL,юл КИРИЛЛ CEN,USA,['случайный адрес'],null
54948_RXM,юл БОЛЬШАКОВА WRU,RUS," ), ведь, узнать,  ), таких, Иран",['случайный адрес']
30816_HOB,юл РУБЕНОВНА LWD,PRK,['случайный адрес'],null
16855_YZH,юл КАПИТОН RVU,null,['случайный адрес'],['случайный адрес']
21036_ZRL,юл АНДРЕЕВИЧ CJK,IRN,null,"мероприятии, ., Северная Корея, ГлоуБайта,, регулятора, ., "
62773_HZW,юл АНТОНОВИЧ YWF,null,null,['случайный адрес']
57743_CJJ,юл ВИТАЛЬЕВИЧ YQQ,RUS,"соблюдения,  ., на,  ), КНДР, важно",null
20242_HSA,юл ИЛЬИНА ZFS,USA,['случайный адрес'],null
31387_VKA,юл ВАСИЛЬЕВНА BQP,null,['случайный адрес'],"вопросы, Северная Корея, которая, ., , не, ., "
20801_WUZ,юл АРСЕНОВИЧ CJY,null,null,null
18442_XTV,юл ФЕВРОНИЯ ANU,null,['случайный адрес'],['случайный адрес']
38038_XUF,юл АРХИПОВНА VMF,USA,['случайный адрес'],null
21027_UFE,юл БОГДАНОВНА EWU,RUS,null,['случайный адрес']
50079_GTT,юл ВОРОНОВ TJL,USA,null,['случайный адрес']
31981_RDC,юл МИЛИЦА PZH,null,"его., ., , соблюдения, ., занимаются, КНДР",null
34634_QBU,юл НИКИФОРОВ KKD,null,['случайный адрес'],null
60226_AJD,юл ИСАЙ ZGL,USA,null,null
48196_XIK,юл НИКОЛАЕВНА JRL,PRK,['случайный адрес'],"КНДР, трактует, ежедневно, операций,,  ), ( "
30424_FUW,юл ХАРЛАМОВИЧ MWZ,RUS,null,null
51723_JNH,юл ПАНОВ RSS,USA,"роль, законов, КНДР, справиться, ( ,  .","Иран,  ., которая, формате, тематике,  ."
25055_EXY,юл РОБЕРТОВНА BOB,IRN,['случайный адрес'],null
63789_ZHW,юл РУСЛАН MJP,RUS,['случайный адрес'],['случайный адрес']
53807_UMB,юл ПЕТРОВА ANJ,PRK,null,['случайный адрес']
54146_TFR,юл БЕНЕДИКТОВИЧ RDX,RUS,null,"выполнения, ., , если, Иран, всем, ."
47360_RKV,юл ФАИНА PGN,USA,['случайный адрес'],"в, Иран, регулятора,  ), важно, ., "
32309_OCK,юл ХАРИТОНОВНА WDI,PRK,null,"КНДР, вам, ., , многоуровневый,  ), этот"
47380_GDJ,юл ВАЛЕРИАНОВИЧ LGI,RUS,null,"., , Иран, банки, выявления, тебя, ., "
43061_TGJ,юл МАТВЕЕВНА MZH,null,"Потребуется, ., , автоматизация, тебя,  ), Северная Корея",['случайный адрес']
28862_QJR,юл АЛЕКСЕЕВИЧ YHW,null,['случайный адрес'],['случайный адрес']
22565_MQY,юл ДРОЗДОВ NLE,null,"Северная Корея, ГлоуБайта,, ., примерить, ., , Но",['случайный адрес']
22736_IPQ,юл РОБЕРТОВНА TDW,USA,"клиенты, хакатоне, Северная Корея, ( , ., , в"," ., и, ., Северная Корея, законов., закрываются."
59571_QMS,юл ПЕТРОВА BDF,RUS,null,null
44633_QDB,юл ИГНАТЬЕВА MEM,USA,['случайный адрес'],['случайный адрес']
39603_AZD,юл ФЕДОСЬЕВИЧ ZYB,PRK,null,['случайный адрес']
44143_GNK,юл КУЗЬМИНИЧНА ZOL,null,['случайный адрес'],['случайный адрес']
43325_JYS,юл СЫСОЕВ VWD,null,null,null
46990_OPS,юл ТАРАСОВНА FHV,RUS,['случайный адрес'],"., Северная Корея, ведь, Поэтому, банком, ."
